technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,newcapa,2020,5.00000000000
gasboiler,R1,R1,A2,residential,newcapa,2020,5.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2020,0.50000000000
gasCCGT,R1,R1,A2,power,newcapa,2020,0.50000000000
gassupply1,R1,R1,A1,gas,newcapa,2020,7.50000000000
gassupply1,R1,R1,A2,gas,newcapa,2020,7.50000000000
gasboiler,R1,R1,A1,residential,newcapa,2025,2.50000000000
heatpump,R1,R1,A1,residential,newcapa,2025,9.50000000000
gasboiler,R1,R1,A2,residential,newcapa,2025,2.50000000000
heatpump,R1,R1,A2,residential,newcapa,2025,9.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2025,2.36110000000
gasCCGT,R1,R1,A2,power,newcapa,2025,0.50000000000
windturbine,R1,R1,A2,power,newcapa,2025,4.18750000000
gassupply1,R1,R1,A1,gas,newcapa,2025,7.50000000000
gassupply1,R1,R1,A2,gas,newcapa,2025,7.50000000000
heatpump,R1,R1,A1,residential,newcapa,2030,9.50000000000
heatpump,R1,R1,A1,residential,newcapa,2030,5.50000000000
heatpump,R1,R1,A2,residential,newcapa,2030,9.50000000000
heatpump,R1,R1,A2,residential,newcapa,2030,5.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2030,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2030,4.80560000000
solarPV,R1,R1,A2,power,newcapa,2030,10.00000000000
windturbine,R1,R1,A2,power,newcapa,2030,4.18750000000
windturbine,R1,R1,A2,power,newcapa,2030,0.81250000000
gassupply1,R1,R1,A1,gas,newcapa,2030,3.75000000000
gassupply1,R1,R1,A1,gas,newcapa,2030,1.81670000000
gassupply1,R1,R1,A2,gas,newcapa,2030,3.75000000000
gassupply1,R1,R1,A2,gas,newcapa,2030,1.81670000000
heatpump,R1,R1,A1,residential,newcapa,2035,5.50000000000
heatpump,R1,R1,A1,residential,newcapa,2035,12.50000000000
heatpump,R1,R1,A2,residential,newcapa,2035,5.50000000000
heatpump,R1,R1,A2,residential,newcapa,2035,12.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2035,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2035,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2035,0.50000000000
solarPV,R1,R1,A2,power,newcapa,2035,10.00000000000
solarPV,R1,R1,A2,power,newcapa,2035,1.50000000000
windturbine,R1,R1,A2,power,newcapa,2035,4.18750000000
windturbine,R1,R1,A2,power,newcapa,2035,0.81250000000
gassupply1,R1,R1,A1,gas,newcapa,2035,1.81670000000
gassupply1,R1,R1,A1,gas,newcapa,2035,4.44580000000
gassupply1,R1,R1,A2,gas,newcapa,2035,1.81670000000
gassupply1,R1,R1,A2,gas,newcapa,2035,4.44580000000
heatpump,R1,R1,A1,residential,newcapa,2040,12.50000000000
heatpump,R1,R1,A1,residential,newcapa,2040,8.50000000000
heatpump,R1,R1,A2,residential,newcapa,2040,12.50000000000
heatpump,R1,R1,A2,residential,newcapa,2040,8.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2040,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2040,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2040,0.50000000000
solarPV,R1,R1,A1,power,newcapa,2040,2.50000000000
windturbine,R1,R1,A1,power,newcapa,2040,0.50000000000
solarPV,R1,R1,A2,power,newcapa,2040,10.00000000000
solarPV,R1,R1,A2,power,newcapa,2040,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2040,3.50000000000
windturbine,R1,R1,A2,power,newcapa,2040,4.18750000000
windturbine,R1,R1,A2,power,newcapa,2040,0.81250000000
gassupply1,R1,R1,A1,gas,newcapa,2040,1.81670000000
gassupply1,R1,R1,A1,gas,newcapa,2040,4.44580000000
gassupply1,R1,R1,A2,gas,newcapa,2040,1.81670000000
gassupply1,R1,R1,A2,gas,newcapa,2040,4.44580000000
heatpump,R1,R1,A1,residential,newcapa,2045,8.50000000000
heatpump,R1,R1,A1,residential,newcapa,2045,15.50000000000
heatpump,R1,R1,A2,residential,newcapa,2045,8.50000000000
heatpump,R1,R1,A2,residential,newcapa,2045,15.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2045,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2045,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2045,0.50000000000
solarPV,R1,R1,A1,power,newcapa,2045,2.50000000000
solarPV,R1,R1,A1,power,newcapa,2045,3.25000000000
windturbine,R1,R1,A1,power,newcapa,2045,0.50000000000
solarPV,R1,R1,A2,power,newcapa,2045,10.00000000000
solarPV,R1,R1,A2,power,newcapa,2045,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2045,3.50000000000
solarPV,R1,R1,A2,power,newcapa,2045,3.25000000000
windturbine,R1,R1,A2,power,newcapa,2045,4.18750000000
windturbine,R1,R1,A2,power,newcapa,2045,0.81250000000
gassupply1,R1,R1,A1,gas,newcapa,2045,1.81670000000
gassupply1,R1,R1,A1,gas,newcapa,2045,4.44580000000
gassupply1,R1,R1,A2,gas,newcapa,2045,1.81670000000
gassupply1,R1,R1,A2,gas,newcapa,2045,4.44580000000
heatpump,R1,R1,A1,residential,newcapa,2050,15.50000000000
heatpump,R1,R1,A1,residential,newcapa,2050,11.50000000000
heatpump,R1,R1,A2,residential,newcapa,2050,15.50000000000
heatpump,R1,R1,A2,residential,newcapa,2050,11.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2050,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2050,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2050,0.50000000000
solarPV,R1,R1,A1,power,newcapa,2050,2.50000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.25000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.00000000000
windturbine,R1,R1,A1,power,newcapa,2050,0.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,10.00000000000
solarPV,R1,R1,A2,power,newcapa,2050,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.25000000000
solarPV,R1,R1,A2,power,newcapa,2050,6.59370000000
windturbine,R1,R1,A2,power,newcapa,2050,0.81250000000
gassupply1,R1,R1,A1,gas,newcapa,2050,1.81670000000
gassupply1,R1,R1,A1,gas,newcapa,2050,4.44580000000
gassupply1,R1,R1,A2,gas,newcapa,2050,1.81670000000
gassupply1,R1,R1,A2,gas,newcapa,2050,4.44580000000
